         table_name         |          column_name           |        data_type         | is_nullable |                            column_default                            
----------------------------+--------------------------------+--------------------------+-------------+----------------------------------------------------------------------
 agent_acl                  | agent_id                       | uuid                     | NO          | 
 agent_acl                  | user_id                        | uuid                     | NO          | 
 agent_acl                  | can_read                       | boolean                  | NO          | true
 agent_acl                  | can_write                      | boolean                  | NO          | false
 agent_configurations       | config_id                      | uuid                     | NO          | gen_random_uuid()
 agent_configurations       | agent_id                       | uuid                     | NO          | 
 agent_configurations       | version_num                    | integer                  | NO          | 
 agent_configurations       | params                         | jsonb                    | NO          | 
 agent_configurations       | created_by                     | uuid                     | NO          | 
 agent_configurations       | created_at                     | timestamp with time zone | NO          | now()
 agent_error_logs           | error_id                       | uuid                     | NO          | gen_random_uuid()
 agent_error_logs           | agent_id                       | uuid                     | NO          | 
 agent_error_logs           | occurred_at                    | timestamp with time zone | NO          | now()
 agent_error_logs           | error_code                     | text                     | YES         | 
 agent_error_logs           | payload                        | jsonb                    | YES         | 
 agent_hierarchy            | ancestor                       | uuid                     | NO          | 
 agent_hierarchy            | descendant                     | uuid                     | NO          | 
 agent_hierarchy            | depth                          | integer                  | NO          | 
 agent_kbs                  | agent_id                       | uuid                     | NO          | 
 agent_kbs                  | kb_id                          | uuid                     | NO          | 
 agent_kbs                  | config                         | jsonb                    | NO          | '{}'::jsonb
 agent_models               | agent_id                       | uuid                     | NO          | 
 agent_models               | llm_id                         | uuid                     | NO          | 
 agent_models               | override                       | jsonb                    | NO          | '{}'::jsonb
 agent_quotas               | quota_id                       | uuid                     | NO          | gen_random_uuid()
 agent_quotas               | agent_id                       | uuid                     | NO          | 
 agent_quotas               | tenant_id                      | uuid                     | NO          | 
 agent_quotas               | max_calls                      | bigint                   | NO          | 
 agent_quotas               | max_tokens                     | bigint                   | NO          | 
 agent_quotas               | period                         | interval                 | NO          | 
 agent_quotas               | created_at                     | timestamp with time zone | NO          | now()
 agent_tools                | agent_id                       | uuid                     | NO          | 
 agent_tools                | tool_id                        | uuid                     | NO          | 
 agent_tools                | config                         | jsonb                    | NO          | '{}'::jsonb
 agent_triggers             | trigger_id                     | uuid                     | NO          | gen_random_uuid()
 agent_triggers             | agent_id                       | uuid                     | NO          | 
 agent_triggers             | trigger_type                   | USER-DEFINED             | NO          | 
 agent_triggers             | cron_expr                      | text                     | YES         | 
 agent_triggers             | event_name                     | text                     | YES         | 
 agent_triggers             | active                         | boolean                  | NO          | true
 agent_triggers             | last_run_at                    | timestamp with time zone | YES         | 
 agent_usage_metrics        | metric_id                      | uuid                     | NO          | gen_random_uuid()
 agent_usage_metrics        | agent_id                       | uuid                     | NO          | 
 agent_usage_metrics        | period_start                   | timestamp with time zone | NO          | 
 agent_usage_metrics        | period_end                     | timestamp with time zone | NO          | 
 agent_usage_metrics        | calls_count                    | bigint                   | NO          | 
 agent_usage_metrics        | tokens_used                    | bigint                   | NO          | 
 agent_usage_metrics        | cost_est                       | numeric                  | NO          | 
 agent_usage_metrics        | created_at                     | timestamp with time zone | NO          | now()
 agents                     | id                             | uuid                     | NO          | 
 agents                     | name                           | character varying        | NO          | 
 agents                     | description                    | text                     | YES         | 
 agents                     | is_active                      | boolean                  | NO          | true
 agents                     | user_id                        | uuid                     | NO          | 
 agents                     | created_at                     | timestamp with time zone | NO          | now()
 agents                     | updated_at                     | timestamp with time zone | NO          | now()
 agents                     | workspace_id                   | uuid                     | YES         | 
 agents                     | tenant_id                      | uuid                     | NO          | 
 agents                     | status                         | character varying        | YES         | 'active'::character varying
 agents                     | priority                       | integer                  | YES         | 1
 agents                     | version                        | character varying        | YES         | '1.0.0'::character varying
 agents                     | environment                    | character varying        | YES         | 'development'::character varying
 agents                     | current_config                 | uuid                     | YES         | 
 alembic_version            | version_num                    | character varying        | NO          | 
 analytics_alerts           | id                             | uuid                     | NO          | 
 analytics_alerts           | name                           | character varying        | NO          | 
 analytics_alerts           | description                    | text                     | YES         | 
 analytics_alerts           | condition                      | jsonb                    | NO          | 
 analytics_alerts           | notification_config            | jsonb                    | NO          | 
 analytics_alerts           | is_active                      | boolean                  | NO          | true
 analytics_alerts           | owner_id                       | uuid                     | NO          | 
 analytics_alerts           | last_triggered_at              | timestamp with time zone | YES         | 
 analytics_alerts           | created_at                     | timestamp with time zone | NO          | now()
 analytics_alerts           | updated_at                     | timestamp with time zone | NO          | now()
 analytics_alerts           | tenant_id                      | uuid                     | YES         | 
 analytics_dashboards       | id                             | uuid                     | NO          | 
 analytics_dashboards       | name                           | character varying        | NO          | 
 analytics_dashboards       | description                    | text                     | YES         | 
 analytics_dashboards       | icon                           | character varying        | YES         | 
 analytics_dashboards       | color                          | character varying        | YES         | 
 analytics_dashboards       | user_id                        | uuid                     | NO          | 
 analytics_dashboards       | layout                         | jsonb                    | NO          | 
 analytics_dashboards       | widgets                        | jsonb                    | NO          | 
 analytics_dashboards       | filters                        | jsonb                    | YES         | 
 analytics_dashboards       | auto_refresh                   | boolean                  | NO          | 
 analytics_dashboards       | refresh_interval               | integer                  | YES         | 
 analytics_dashboards       | is_public                      | boolean                  | NO          | false
 analytics_dashboards       | shared_with                    | jsonb                    | YES         | 
 analytics_dashboards       | is_default                     | boolean                  | NO          | 
 analytics_dashboards       | status                         | character varying        | NO          | 
 analytics_dashboards       | created_at                     | timestamp with time zone | NO          | now()
 analytics_dashboards       | updated_at                     | timestamp with time zone | NO          | now()
 analytics_dashboards       | last_viewed_at                 | timestamp with time zone | YES         | 
 analytics_dashboards       | workspace_id                   | uuid                     | YES         | 
 analytics_dashboards       | tenant_id                      | uuid                     | YES         | 
 analytics_events           | id                             | uuid                     | NO          | 
 analytics_events           | event_id                       | character varying        | NO          | 
 analytics_events           | event_type                     | character varying        | NO          | 
 analytics_events           | category                       | character varying        | NO          | 
 analytics_events           | action                         | character varying        | NO          | 
 analytics_events           | label                          | character varying        | YES         | 
 analytics_events           | user_id                        | uuid                     | YES         | 
 analytics_events           | session_id                     | character varying        | YES         | 
